resp,pval,avg,cilo,cihi,studylo
den,0.98,0.01,-0.72,0.74,NA
den,0.95,-0.02,-0.86,0.82,3
den,0.83,0.08,-0.73,0.88,4
den,0.76,0.1,-0.66,0.87,5
den,0.81,-0.09,-0.88,0.71,6
den,0.94,-0.03,-0.85,0.8,8
den,0.93,0.03,-0.8,0.86,9
den,0.26,-0.19,-0.68,0.3,10
den,0.64,0.14,-0.54,0.83,11
den,0.93,0.03,-0.79,0.85,12
den,0.91,0.04,-0.78,0.86,13
den,0.97,-0.01,-0.84,0.81,15
bio,0.02,-0.72,-1.27,-0.17,NA
bio,0.03,-0.76,-1.39,-0.12,1
bio,0.04,-0.65,-1.25,-0.04,2
bio,0.01,-0.82,-1.39,-0.25,3
bio,0.03,-0.73,-1.36,-0.1,4
bio,0.03,-0.66,-1.23,-0.08,5
bio,0.01,-0.8,-1.37,-0.23,7
bio,0.02,-0.81,-1.44,-0.18,9
bio,0.02,-0.59,-1.06,-0.11,11
bio,0.04,-0.67,-1.28,-0.06,12
bio,0.02,-0.79,-1.4,-0.19,14
bio,0.04,-0.66,-1.28,-0.05,15
